                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x76e4cfb91010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-08 10:38:41 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-08 10:40:34      3997    -585   315     24       59.46   0      11      0
2025-11-08 10:40:35      4032    -538   471     24       144.45  3      -4      0
2025-11-08 10:40:36      4067    -337   346     24       243.85  -1     -3      0
2025-11-08 10:40:37      4102    -338   346     24       226.49  -3     -11     0
2025-11-08 10:40:38      4137    -491   103     24       356.26  8      -8      0
2025-11-08 10:40:39      4172    3      -19     24       354.51  16     -3      0
2025-11-08 10:40:40      4207    315    -47     24       64.47   -1     -5      0
2025-11-08 10:40:41      4242    329    -55     24       52.69   5      6       0
2025-11-08 10:40:42      4277    464    272     24       82.62   0      4       0
2025-11-08 10:40:43      4312    473    330     24       98.22   0      0       0
2025-11-08 10:40:44      4347    287    522     24       143.31  -12    9       0
2025-11-08 10:40:45      4382    -13    627     24       174.16  -13    0       0
2025-11-08 10:40:46      4417    -380   630     24       255.01  -2     3       0
2025-11-08 10:40:47      4452    -299   713     24       16.22   9      1       0
2025-11-08 10:40:48      4487    144    675     24       7.95    10     -2      0
2025-11-08 10:40:49      4522    277    685     24       318.30  -1     0       0
2025-11-08 10:40:50      4557    372    416     24       277.12  7      -12     0
2025-11-08 10:40:51      4592    247    39      24       169.72  -14    -3      0
2025-11-08 10:40:52      4627    -275   82      24       133.99  -10    1       0
2025-11-08 10:40:53      4662    -366   129     24       91.41   -1     0       0
2025-11-08 10:40:54      4697    -367   79      24       91.63   -1     4       0
2025-11-08 10:40:55      4732    -407   330     24       84.99   -1     1       0
2025-11-08 10:40:56      4767    -429   231     24       79.50   -2     -7      0
2025-11-08 10:40:57      4802    -428   209     24       80.42   0      1       0
2025-11-08 10:40:58      4837    -423   270     24       98.48   -1     0       0
2025-11-08 10:40:59      4872    -420   543     24       59.50   3      13      0
2025-11-08 10:41:00      4907    -20    705     24       322.08  13     -7      0
2025-11-08 10:41:01      4942    377    474     24       298.34  8      -12     0
2025-11-08 10:41:02      4977    416    71      24       146.25  -10    -4      0
2025-11-08 10:41:03      5012    68     171     48       126.43  -1     -1      0
2025-11-08 10:41:04      5047    -38    236     48       134.78  -6     5       0
2025-11-08 10:41:05      5082    -160   296     56       151.08  -7     0       0
2025-11-08 10:41:06      5117    -270   324     64       60.56   1      3       0
2025-11-08 10:41:07      5152    -146   412     64       342.16  -4     -1      4
2025-11-08 10:41:08      5187    -250   326     64       42.85   3      0       0
2025-11-08 10:41:09      5222    -202   400     88       237.70  -2     -3      4
2025-11-08 10:41:10      5257    -225   321     64       130.17  -1     -3      0
2025-11-08 10:41:11      5292    -248   353     64       120.28  1      -3      0
2025-11-08 10:41:12      5327    -223   272     56       44.74   1      1       0
2025-11-08 10:41:13      5362    -208   298     56       136.93  -3     2       0
