                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7f496e259010, 2000000 allocated for zone
Using /home/blurry/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/blurry/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding /home/blurry/trajectory_doom/misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 12:00:46 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 12:03:05	 4978	 3313	-3893	-48	 227.81	 -3	-7 	0
2025-11-10 12:03:06	 5013	 3240	-3952	-48	 282.30	 -1	0 	0
2025-11-10 12:03:09	 5107	 3294	-3892	-48	 50.62	 4	5 	0
2025-11-10 12:03:10	 5142	 3410	-3647	-48	 96.33	 0	8 	0
2025-11-10 12:03:11	 5177	 3407	-3485	-40	 159.61	 -1	0 	1
2025-11-10 12:03:12	 5212	 3122	-3321	-24	 112.15	 -5	4 	0
2025-11-10 12:03:13	 5247	 3018	-3211	-24	 108.63	 -2	3 	0
2025-11-10 12:03:14	 5282	 2945	-2977	-24	 112.15	 -3	7 	0
2025-11-10 12:03:15	 5317	 2683	-2739	-16	 205.31	 -14	-3 	0
2025-11-10 12:03:16	 5352	 2435	-2563	0	 149.06	 -3	2 	0
2025-11-10 12:03:17	 5387	 2412	-2541	0	 191.25	 -1	0 	0
2025-11-10 12:03:19	 5465	 2479	-2371	0	 142.03	 0	0 	0
2025-11-10 12:03:20	 5500	 2352	-2252	0	 185.98	 0	1 	0
2025-11-10 12:03:21	 5535	 2282	-2256	0	 205.31	 -9	-1 	0
2025-11-10 12:03:22	 5570	 1956	-2284	0	 207.07	 -4	-1 	0
2025-11-10 12:03:23	 5605	 1863	-2355	0	 229.92	 -5	-5 	0
2025-11-10 12:03:24	 5640	 1820	-2402	0	 203.55	 -1	-1 	0
2025-11-10 12:03:25	 5677	 1579	-2508	0	 203.55	 -10	-5 	0
2025-11-10 12:03:26	 5712	 1568	-2544	0	 203.55	 0	-1 	0
2025-11-10 12:03:28	 5759	 1314	-2553	0	 266.84	 -6	-1 	0
2025-11-10 12:03:29	 5794	 1273	-2744	0	 273.87	 0	-15 	0
2025-11-10 12:03:30	 5829	 1297	-3125	-9	 293.20	 0	-4 	0
2025-11-10 12:03:31	 5864	 1307	-3166	-16	 3.52	 3	0 	0
2025-11-10 12:03:32	 5899	 1327	-3157	-16	 330.12	 0	0 	0
2025-11-10 12:03:33	 5961	 1287	-3233	-16	 263.32	 -2	-16 	0
2025-11-10 12:03:34	 5996	 1197	-3586	0	 215.86	 -2	-1 	0
2025-11-10 12:03:35	 6031	 1071	-3632	0	 242.23	 -1	0 	0
2025-11-10 12:03:36	 6066	 1041	-3664	0	 238.71	 -1	0 	0
2025-11-10 12:03:38	 6128	 994	-3528	0	 171.91	 -1	1 	0
2025-11-10 12:03:39	 6163	 832	-3466	0	 138.52	 -4	1 	0
2025-11-10 12:03:40	 6198	 720	-3346	0	 133.24	 -1	3 	0
