                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x7e60dd6de010, 2000000 allocated for zone
Using /home/silver/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/silver/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - ..........................
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-05 20:58:36 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-05 21:00:09	 3336	 -232	-3211	128	 76.77	 3	9 	0
2025-11-05 21:00:10	 3371	 -219	-3162	104	 332.18	 -1	-1 	0
2025-11-05 21:00:11	 3406	 -86	-3204	104	 356.88	 13	-3 	0
2025-11-05 21:00:12	 3441	 236	-3236	58	 1.58	 6	-1 	0
2025-11-05 21:00:13	 3476	 647	-3237	-8	 355.25	 15	-1 	0
2025-11-05 21:00:14	 3511	 921	-3254	0	 355.91	 10	-2 	0
2025-11-05 21:00:15	 3546	 1283	-3287	-16	 359.30	 7	-1 	0
2025-11-05 21:00:16	 3581	 1006	-3373	-8	 22.50	 -9	-4 	0
2025-11-05 21:00:17	 3616	 953	-3407	0	 21.97	 -1	-1 	0
2025-11-05 21:00:18	 3666	 978	-3404	0	 309.38	 1	-1 	0
2025-11-05 21:00:19	 3701	 1030	-3601	0	 295.09	 4	-14 	0
2025-11-05 21:00:20	 3736	 1051	-3553	0	 272.11	 -1	5 	0
2025-11-05 21:00:21	 3771	 1000	-3476	0	 95.98	 -1	2 	0
2025-11-05 21:00:22	 3806	 987	-3418	0	 84.68	 -1	0 	0
2025-11-05 21:00:23	 3841	 995	-3351	-8	 81.96	 0	1 	0
2025-11-05 21:00:24	 3876	 1161	-3047	0	 45.48	 10	11 	0
2025-11-05 21:00:25	 3911	 1283	-2881	0	 82.44	 1	10 	0
2025-11-05 21:00:26	 3946	 1458	-2467	0	 347.30	 6	0 	0
2025-11-05 21:00:27	 3982	 1503	-2449	0	 283.75	 -1	-1 	0
2025-11-05 21:00:28	 4017	 1576	-2496	0	 1.23	 2	-1 	0
2025-11-05 21:00:29	 4052	 1609	-2498	0	 359.87	 0	-1 	0
2025-11-05 21:00:30	 4097	 1680	-2486	0	 21.58	 10	2 	0
2025-11-05 21:00:31	 4132	 1824	-2324	0	 100.20	 -1	7 	0
2025-11-05 21:00:32	 4167	 1798	-2229	0	 136.14	 -7	6 	0
2025-11-05 21:00:34	 4212	 1783	-2162	0	 354.20	 12	-1 	0
2025-11-05 21:00:35	 4247	 2255	-2218	0	 319.09	 6	-2 	0
2025-11-05 21:00:36	 4282	 2346	-2256	0	 276.20	 1	-1 	0
2025-11-05 21:00:37	 4317	 2352	-2314	0	 277.38	 -1	0 	0
2025-11-05 21:00:38	 4352	 2352	-2514	0	 252.86	 -1	-2 	0
2025-11-05 21:00:39	 4387	 2336	-2736	0	 164.44	 0	0 	0
