jp@jp-MS-7C91:~/Documents/trajectory_doom-main/chocolate-doom$ src/chocolate-doom -iwad ../misc/OriginalWADs/DOOM.WAD
                         Chocolate Doom 3.1.0
Z_Init: Init zone memory allocation daemon. 
zone memory: 0x746ace144010, 2000000 allocated for zone
Using /home/jp/.local/share/chocolate-doom/ for configuration and saves
V_Init: allocate screens.
M_LoadDefaults: Load system defaults.
saving config in /home/jp/.local/share/chocolate-doom/default.cfg
W_Init: Init WADfiles.
 adding ../misc/OriginalWADs/DOOM.WAD
BFG Edition: Using workarounds as needed.
===========================================================================
                           The Ultimate DOOM
===========================================================================
 Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
        You may need to run the program as root in order
        to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 16:28:47 Episode: 1 Map: 5
timestamp        tic     x       y       z       angle   momx    momy
2025-11-10 16:31:41      6172    -1602  -731    96       338.91  0      -1      0
2025-11-10 16:31:43      6223    -1544  -756    96       344.18  10     -5      0
2025-11-10 16:31:44      6258    -1394  -807    88       338.91  -1     0       0
2025-11-10 16:31:45      6300    -1415  -804    88       338.91  -1     0       0
2025-11-10 16:31:46      6338    -1400  -808    88       344.18  3      -2      0
2025-11-10 16:31:47      6373    -1162  -921    88       356.48  5      -3      0
2025-11-10 16:31:48      6408    -985   -942    88       22.85   3      1       0
2025-11-10 16:31:49      6443    -848   -805    88       52.73   6      8       0
2025-11-10 16:31:50      6478    -681   -737    96       340.66  10     -3      0
2025-11-10 16:31:51      6513    -593   -864    96       298.48  0      -4      0
2025-11-10 16:31:52      6548    -616   -912    96       286.17  -1     5       0
2025-11-10 16:31:53      6583    -593   -842    96       338.91  0      -1      0
2025-11-10 16:31:54      6618    -466   -855    96       352.97  6      1       0
2025-11-10 16:31:55      6653    -401   -916    96       245.74  -1     -3      0
2025-11-10 16:31:56      6688    -421   -962    96       122.70  -1     -2      0
2025-11-10 16:31:57      6723    -432   -921    96       87.54   -1     -2      0
2025-11-10 16:31:58      6758    -434   -913    96       99.84   -1     0       0
2025-11-10 16:32:00      6808    -413   -814    96       84.02   2      12      0
2025-11-10 16:32:01      6843    -412   -566    96       89.30   -1     13      0
2025-11-10 16:32:02      6879    -405   -369    96       349.10  3      -1      13
2025-11-10 16:32:03      6914    -346   -377    96       359.65  0      -1      13
2025-11-10 16:32:04      6958    -203   -385    96       324.49  4      -1      13
2025-11-10 16:32:05      6993    -149   -566    96       257.70  -1     -9      13
2025-11-10 16:32:06      7028    -152   -618    96       268.24  0      5       13
2025-11-10 16:32:07      7063    -150   -514    96       261.21  -1     -1      13
2025-11-10 16:32:08      7098    -180   -712    96       254.18  -3     -14     13
2025-11-10 16:32:09      7133    -90    -880    99       1.41    9      0       13
2025-11-10 16:32:10      7168    -51    -873    96       171.91  -4     1       13
2025-11-10 16:32:11      7203    -287   -820    96       98.09   2      -5      13
2025-11-10 16:32:12      7238    -272   -880    96       85.78   -1     0       13
2025-11-10 16:32:13      7273    -272   -863    96       91.05   -1     1       13
2025-11-10 16:32:14      7308    -302   -609    96       61.17   1      9       0
2025-11-10 16:32:15      7343    -225   -570    96       271.76  0      -9      0
2025-11-10 16:32:16      7378    -252   -625    96       315.70  -4     3       0
2025-11-10 16:32:20      7482    -1467  -3325   64       74.18   2      7       0
2025-11-10 16:32:21      7517    -1488  -3275   64       109.34  -2     -4      0
2025-11-10 16:32:22      7552    -1545  -3315   64       167.34  -2     -1      0
2025-11-10 16:32:23      7587    -1564  -3302   64       107.58  -2     4       0
2025-11-10 16:32:24      7622    -1563  -3217   64       39.02   0      0       0
2025-11-10 16:32:25      7657    -1562  -3220   64       51.33   1      1       0
2025-11-10 16:32:26      7692    -1506  -3131   64       130.43  0      0       0
2025-11-10 16:32:27      7731    -1541  -3086   64       118.12  -6     8       0
2025-11-10 16:32:28      7766    -1704  -3025   64       169.10  -11    0       0
2025-11-10 16:32:29      7801    -1873  -3025   64       93.52   -1     0       0
2025-11-10 16:32:30      7836    -1900  -3150   64       77.70   -2     -8      0
2025-11-10 16:32:36      8035    -1910  -3131   64       88.24   -1     1       0
2025-11-10 16:32:37      8090    -1915  -3122   64       88.24   0      -1      0
2025-11-10 16:32:39      8143    -1917  -3076   64       84.73   0      9       0
2025-11-10 16:32:40      8178    -1883  -2636   64       84.73   0      6       0
2025-11-10 16:32:41      8213    -1879  -2551   64       341.02  -1     -1      0
2025-11-10 16:32:42      8248    -1838  -2649   64       277.73  1      -4      0
2025-11-10 16:32:43      8283    -1903  -2978   64       263.67  -1     -7      0
2025-11-10 16:32:44      8318    -1910  -2900   64       72.42   5      9       0
2025-11-10 16:32:45      8353    -1801  -2489   64       28.48   1      0       0
2025-11-10 16:32:46      8388    -1714  -2491   64       342.77  9      -1      0
2025-11-10 16:32:47      8423    -1698  -2603   64       163.48  -8     -1      0
2025-11-10 16:32:48      8458    -1920  -2663   64       254.88  -7     -11     0
2025-11-10 16:32:49      8493    -1968  -2790   64       351.56  0      -1      0
2025-11-10 16:32:50      8532    -1809  -2782   64       295.31  0      -3      0
2025-11-10 16:32:51      8567    -1802  -3064   64       14.41   4      -2      0
2025-11-10 16:32:52      8602    -1654  -3034   64       330.47  1      -1      0
2025-11-10 16:32:53      8637    -1596  -3055   64       335.74  9      -4      0
2025-11-10 16:32:54      8672    -1115  -3037   64       49.57   14     6       0
2025-11-10 16:32:55      8707    -1188  -2686   64       77.70   -3     14      0
2025-11-10 16:32:56      8742    -1148  -2695   64       121.64  3      -6      0
2025-11-10 16:32:57      8777    -1250  -2524   64       165.59  -4     4       0
2025-11-10 16:32:58      8812    -1190  -2431   64       198.98  4      2       0
2025-11-10 16:32:59      8847    -1153  -2412   64       195.47  0      -1      0
2025-11-10 16:33:00      8882    -1153  -2436   64       278.09  0      -12     0
2025-11-10 16:33:01      8917    -1209  -2591   64       214.80  -1     -3      0
2025-11-10 16:33:02      8952    -1339  -2553   64       111.09  -4     2       0
2025-11-10 16:33:03      8987    -1203  -2516   64       323.44  11     -6      0
2025-11-10 16:33:04      9022    -1133  -2743   64       247.85  -9     -9      0
2025-11-10 16:33:05      9057    -1202  -3039   64       256.64  -2     -12     0
2025-11-10 16:33:06      9092    -1440  -3053   64       202.15  -14    3       0
2025-11-10 16:33:07      9127    -1822  -3060   64       135.35  -15    3       0
2025-11-10 16:33:08      9162    -1828  -2791   64       38.67   12     6       0
2025-11-10 16:33:09      9197    -1800  -2575   64       28.12   3      4       0
2025-11-10 16:33:10      9232    -1674  -2497   64       277.38  1      -5      0
2025-11-10 16:33:11      9267    -1849  -2556   64       161.37  -10    1       0
2025-11-10 16:33:12      9302    -1817  -2573   64       159.61  -2     0       0
2025-11-10 16:33:13      9347    -1833  -2566   64       149.06  -2     0       0
2025-11-10 16:33:14      9382    -1893  -2490   64       94.57   -1     1       0
2025-11-10 16:33:15      9417    -1899  -2505   64       94.57   -1     4       0
2025-11-10 16:33:16      9452    -1927  -2553   64       61.17   0      -3      0
2025-11-10 16:33:17      9487    -1912  -2501   64       82.27   1      9       0
2025-11-10 16:33:18      9522    -1929  -2277   64       156.09  -8     4       0
2025-11-10 16:33:19      9557    -2001  -2371   64       259.80  -1     -10     0
2025-11-10 16:33:20      9592    -2154  -2629   64       317.81  -5     2       0
2025-11-10 16:33:21      9627    -2141  -2587   64       33.40   4      2       0
2025-11-10 16:33:22      9662    -2052  -2450   64       70.31   4      12      0
2025-11-10 16:33:23      9697    -1878  -2264   64       17.58   12     3       0
2025-11-10 16:33:24      9734    -1777  -2293   64       131.84  0      -3      0
2025-11-10 16:33:25      9769    -1872  -2080   96       98.44   0      3       0
2025-11-10 16:33:26      9804    -1870  -2009   96       86.13   0      8       0
2025-11-10 16:33:27      9839    -1852  -1817   96       345.94  2      -1      0
2025-11-10 16:33:28      9878    -1818  -1866   99       345.94  -4     0       0
2025-11-10 16:33:29      9913    -1761  -1870   104      354.73  0      -1      0
2025-11-10 16:33:31      9958    -1800  -1880   104      19.34   -4     0       0
2025-11-10 16:33:32      9993    -1900  -1809   96       207.42  -10    -2      0
2025-11-10 16:33:33      10028   -1968  -1804   96       123.05  -1     2       0
2025-11-10 16:33:34      10063   -1922  -1687   96       93.16   3      9       0
2025-11-10 16:33:35      10098   -1875  -1678   96       112.50  -1     1       0
2025-11-10 16:33:36      10133   -1917  -1624   96       63.28   -1     -1      0
2025-11-10 16:33:37      10168   -1900  -1548   96       93.16   1      8       0
2025-11-10 16:33:38      10203   -1880  -1458   96       66.80   0      0       0
2025-11-10 16:33:39      10238   -1891  -1527   96       73.83   -2     -5      0
2025-11-10 16:33:40      10273   -1842  -1348   96       80.86   0      2       0
2025-11-10 16:33:41      10308   -1839  -1275   96       89.65   -1     0       0
2025-11-10 16:33:42      10343   -1822  -1229   96       68.55   3      8       0
2025-11-10 16:33:43      10378   -1808  -972    96       68.55   0      6       0
2025-11-10 16:33:44      10413   -1857  -931    96       333.63  -1     -2      0
