Chocolate Doom is free software, covered by the GNU General Public
 License.  There is NO warranty; not even for MERCHANTABILITY or FITNESS
 FOR A PARTICULAR PURPOSE. You are welcome to change and distribute
 copies under certain conditions. See the source for more information.
===========================================================================
I_Init: Setting up machine state.
Failed to get I/O port permissions for 0x388: Operation not permitted
	You may need to run the program as root in order
	to acquire I/O port permissions for OPL MIDI playback.
OPL_Init: Using driver 'SDL'.
NET_Init: Init network subsystem.
M_Init: Init miscellaneous info.
R_Init: Init DOOM refresh daemon - [..........................]
P_Init: Init Playloop state.
S_Init: Setting up sound.
I_SDL_PrecacheSounds: Precaching all sound effects.....................
D_CheckNetGame: Checking network game status.
startskill 2  deathmatch: 0  startmap: 1  startepisode: 1
player 1 of 1 (1 nodes)
Emulating the behavior of the 'Ultimate Doom' executable.
HU_Init: Setting up heads up display.
ST_Init: Init status bar.
When: 2025-11-10 18:52:11 Episode: 1 Map: 5
timestamp	 tic	 x	 y	 z	 angle	 momx	 momy
2025-11-10 18:55:22	 4928	 369	-3076	-8	 295.66	 3	-5 	0
2025-11-10 18:55:23	 4963	 517	-3277	-8	 339.61	 6	-5 	0
2025-11-10 18:55:24	 4998	 527	-3280	-8	 355.43	 0	-1 	0
2025-11-10 18:55:25	 5033	 689	-3311	0	 322.03	 6	-5 	0
2025-11-10 18:55:26	 5068	 895	-3502	0	 316.76	 5	-6 	0
2025-11-10 18:55:27	 5103	 1060	-3645	0	 265.78	 1	1 	0
2025-11-10 18:55:28	 5138	 1066	-3535	0	 149.77	 -6	2 	0
2025-11-10 18:55:29	 5173	 825	-3415	0	 142.73	 -8	4 	0
2025-11-10 18:55:30	 5208	 592	-3239	-8	 167.34	 -8	3 	0
2025-11-10 18:55:31	 5243	 362	-3170	-8	 167.34	 -3	0 	0
2025-11-10 18:55:49	 5573	 303	-3154	-8	 125.42	 1	-3 	0
2025-11-10 18:55:50	 5608	 338	-3168	-8	 89.78	 0	0 	0
2025-11-10 18:55:51	 5643	 342	-3126	-8	 121.82	 1	-2 	0
2025-11-10 18:55:52	 5678	 355	-3131	-8	 83.63	 0	3 	0
2025-11-10 18:55:53	 5713	 329	-3025	-8	 197.89	 -1	0 	0
2025-11-10 18:55:54	 5748	 288	-3056	-8	 245.35	 -1	0 	0
2025-11-10 18:55:55	 5783	 341	-3058	-8	 324.45	 5	-2 	0
2025-11-10 18:55:56	 5818	 524	-3227	-8	 322.69	 5	-6 	0
2025-11-10 18:55:57	 5853	 742	-3350	0	 335.00	 5	-2 	0
2025-11-10 18:55:58	 5888	 961	-3490	0	 303.35	 6	-6 	0
2025-11-10 18:55:59	 5926	 1034	-3618	0	 268.20	 0	4 	0
2025-11-10 18:56:00	 5961	 1032	-3632	0	 268.20	 -1	-1 	0
2025-11-10 18:56:01	 6003	 1071	-3664	0	 261.17	 -1	-1 	0
2025-11-10 18:56:02	 6043	 1037	-3621	0	 301.60	 -2	5 	0
2025-11-10 18:56:03	 6078	 1008	-3553	0	 220.74	 -2	-2 	0
2025-11-10 18:56:04	 6113	 847	-3526	0	 129.33	 -5	5 	0
2025-11-10 18:56:05	 6148	 685	-3300	0	 157.46	 -6	5 	0
2025-11-10 18:56:06	 6183	 432	-3170	-8	 148.67	 -8	3 	0
2025-11-10 18:56:07	 6218	 336	-3056	-8	 210.19	 0	0 	0
2025-11-10 18:56:08	 6253	 301	-3056	-8	 234.80	 -1	0 	0
2025-11-10 18:56:10	 6310	 299	-3032	-8	 262.92	 0	1 	0
2025-11-10 18:56:11	 6345	 301	-3037	-8	 250.62	 -1	-3 	0
2025-11-10 18:56:12	 6382	 284	-3056	-8	 269.96	 -1	-1 	0
2025-11-10 18:56:13	 6424	 287	-3056	-8	 296.32	 1	-1 	0
2025-11-10 18:56:14	 6459	 400	-3122	-8	 306.87	 4	-6 	0
2025-11-10 18:56:15	 6494	 602	-3302	-8	 349.06	 7	-4 	0
2025-11-10 18:56:16	 6529	 869	-3404	0	 326.21	 7	-5 	0
2025-11-10 18:56:17	 6564	 1075	-3598	0	 280.50	 3	-8 	0
2025-11-10 18:56:18	 6599	 1040	-3657	0	 217.22	 -1	-3 	0
2025-11-10 18:56:19	 6640	 1043	-3586	0	 176.79	 -5	0 	0
2025-11-10 18:56:20	 6675	 810	-3495	0	 139.88	 -8	3 	0
2025-11-10 18:56:21	 6710	 728	-3283	0	 94.17	 -1	7 	0
2025-11-10 18:56:22	 6745	 802	-3019	0	 101.21	 1	7 	0
2025-11-10 18:56:23	 6780	 826	-2973	0	 171.52	 6	-2 	0
2025-11-10 18:56:24	 6815	 866	-2952	0	 87.14	 0	1 	0
2025-11-10 18:56:25	 6850	 1012	-2897	0	 357.50	 4	-1 	0
2025-11-10 18:56:26	 6885	 1229	-2985	0	 346.95	 7	-3 	0
2025-11-10 18:56:27	 6920	 1319	-3115	0	 230.93	 -3	-7 	0
2025-11-10 18:56:28	 6955	 1128	-3203	-16	 150.07	 -8	2 	0
2025-11-10 18:56:29	 6990	 863	-3195	0	 204.57	 -8	-3 	0
2025-11-10 18:56:30	 7025	 580	-3257	-8	 155.35	 -9	0 	0
2025-11-10 18:56:31	 7060	 366	-3112	-8	 106.13	 -3	3 	0
2025-11-10 18:56:32	 7095	 336	-3099	-8	 137.77	 -1	1 	0
2025-11-10 18:56:33	 7130	 336	-3075	-8	 201.05	 0	-2 	0
2025-11-10 18:56:34	 7165	 336	-3057	-8	 114.92	 -1	4 	0
2025-11-10 18:56:35	 7206	 311	-3042	-8	 223.90	 -4	-4 	0
2025-11-10 18:56:36	 7241	 245	-3025	-8	 313.55	 -1	0 	0
2025-11-10 18:56:37	 7276	 268	-3056	-8	 306.52	 0	0 	0
2025-11-10 18:56:38	 7311	 311	-3056	-8	 306.52	 3	-1 	0
2025-11-10 18:56:39	 7351	 334	-3037	-8	 241.48	 -2	-4 	0
2025-11-10 18:56:40	 7386	 303	-3056	-8	 229.17	 -2	0 	0
2025-11-10 18:56:41	 7423	 292	-3039	-8	 269.60	 -1	-5 	0
2025-11-10 18:56:44	 7500	 303	-3056	-8	 318.82	 2	-1 	0
2025-11-10 18:56:45	 7535	 469	-3169	-8	 310.03	 5	-6 	0
2025-11-10 18:56:46	 7570	 692	-3337	0	 350.46	 7	-3 	0
2025-11-10 18:56:47	 7605	 907	-3436	0	 331.13	 3	-3 	0
2025-11-10 18:56:48	 7640	 873	-3486	0	 267.85	 -2	-7 	0
2025-11-10 18:56:49	 7675	 926	-3546	0	 181.71	 6	0 	0
2025-11-10 18:56:50	 7710	 1022	-3571	0	 208.08	 -4	-3 	0
2025-11-10 18:56:51	 7745	 987	-3580	0	 246.75	 -2	-4 	0
2025-11-10 18:56:52	 7780	 864	-3547	0	 127.22	 -7	5 	0
2025-11-10 18:56:53	 7815	 715	-3323	0	 130.74	 -3	6 	0
2025-11-10 18:56:54	 7850	 528	-3186	-8	 158.86	 -1	2 	0
2025-11-10 18:56:55	 7885	 528	-3185	-8	 202.81	 0	0 	0
2025-11-10 18:56:56	 7920	 374	-3186	-8	 137.77	 -2	-1 	0
2025-11-10 18:56:57	 7955	 340	-3064	-8	 143.04	 -4	6 	0
2025-11-10 18:56:58	 7990	 291	-3041	-8	 245.00	 -2	-5 	0
2025-11-10 18:56:59	 8025	 300	-3046	-8	 327.61	 3	-4 	0
2025-11-10 18:57:00	 8060	 457	-3178	-8	 317.07	 5	-7 	0
2025-11-10 18:57:01	 8095	 644	-3335	-8	 325.85	 5	-2 	0
2025-11-10 18:57:02	 8130	 883	-3421	0	 313.55	 6	-5 	0
2025-11-10 18:57:03	 8165	 1087	-3622	0	 280.15	 4	-7 	0
2025-11-10 18:57:04	 8200	 1040	-3647	0	 204.57	 -1	-2 	0
2025-11-10 18:57:05	 8235	 1032	-3599	0	 120.19	 -2	5 	0
2025-11-10 18:57:06	 8270	 858	-3409	0	 183.47	 -8	2 	0
2025-11-10 18:57:07	 8305	 716	-3335	0	 143.04	 -3	3 	0
2025-11-10 18:57:08	 8340	 532	-3186	-8	 127.22	 -7	5 	0
2025-11-10 18:57:09	 8375	 390	-3180	-8	 102.61	 -5	5 	0
2025-11-10 18:57:10	 8410	 293	-3025	-8	 192.26	 -1	0 	0
2025-11-10 18:57:11	 8445	 270	-3056	-8	 274.88	 -1	0 	0
2025-11-10 18:57:12	 8493	 212	-3025	-8	 320.58	 -2	0 	0
2025-11-10 18:57:13	 8528	 276	-3056	-8	 334.64	 0	0 	0
2025-11-10 18:57:14	 8563	 269	-3041	-8	 283.67	 -1	0 	0
2025-11-10 18:58:21	 9161	 284	-3056	-8	 325.15	 1	-2 	0
2025-11-10 18:58:22	 9196	 291	-3055	-8	 354.73	 -1	0 	0
2025-11-10 18:58:23	 9231	 415	-3115	-8	 268.59	 2	-7 	0
2025-11-10 18:58:24	 9266	 383	-3371	-8	 203.55	 -5	-6 	0
2025-11-10 18:58:25	 9301	 191	-3412	-8	 80.51	 -2	-4 	0
2025-11-10 18:58:26	 9336	 239	-3334	-8	 57.66	 0	3 	0
2025-11-10 18:58:27	 9371	 327	-3269	8	 71.72	 3	3 	0
2025-11-10 18:58:28	 9406	 390	-3190	-8	 180.70	 -2	0 	0
2025-11-10 18:58:29	 9441	 329	-3198	8	 201.80	 -5	-2 	0
2025-11-10 18:58:30	 9476	 76	-3223	104	 166.64	 -8	1 	0
2025-11-10 18:58:31	 9511	 -132	-3179	104	 166.64	 -8	1 	0
2025-11-10 18:58:32	 9546	 -272	-3169	104	 166.64	 -1	-1 	0
2025-11-10 18:58:33	 9581	 -304	-3197	104	 249.26	 -1	-3 	0
2025-11-10 18:58:34	 9616	 -229	-3309	104	 12.30	 6	-1 	0
2025-11-10 18:58:35	 9651	 40	-3285	104	 28.12	 7	1 	0
2025-11-10 18:58:36	 9686	 327	-3199	19	 1.76	 9	2 	0
2025-11-10 18:58:37	 9721	 620	-3223	-8	 12.30	 8	-2 	0
2025-11-10 18:58:38	 9756	 800	-3075	0	 63.28	 2	7 	0
2025-11-10 18:58:39	 9791	 1002	-2947	0	 5.27	 7	-1 	0
2025-11-10 18:58:40	 9826	 1267	-2999	0	 293.20	 5	-6 	0
